measurement,ms
release_cursor_clear,0.0251
release_pixmap_to_image AND release_background_applyImage,0.2767
release_image_to_pixmap,0.0059
release_background_clear,0.4329
release_geo_clearAll,0.0025
addImage_index_update,0.0000
addImage_img_copy,1.1936
saveValue_mkpath,0.0755
serialize_image,3.6639
saveImageToFile_total,4.8607
saveValue_saveImageToFile,4.8721
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9781
addImage_saveValue,4.9881
addImage_updateGui,0.7602
release_event_total,8.1419
release_cursor_clear,0.0224
release_pixmap_to_image AND release_background_applyImage,0.3929
release_image_to_pixmap,0.0052
release_background_clear,1.0029
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,1.5405
saveValue_mkpath,0.0104
serialize_image,3.6696
saveImageToFile_total,5.0287
saveValue_saveImageToFile,5.0399
saveValue_removeHistory,0.0001
Storage_addImage_total,5.0799
addImage_saveValue,5.0890
addImage_updateGui,0.7623
release_event_total,9.2052
release_cursor_clear,0.0292
release_pixmap_to_image AND release_background_applyImage,0.3412
release_image_to_pixmap,0.0067
release_background_clear,0.4082
release_geo_clearAll,0.0020
addImage_index_update,0.0000
addImage_img_copy,1.0555
saveValue_mkpath,0.0103
serialize_image,3.4086
saveImageToFile_total,4.5735
saveValue_saveImageToFile,4.5843
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6215
addImage_saveValue,4.6300
addImage_updateGui,0.7642
release_event_total,7.6486
stroke_recognition_total,0.1211
release_cursor_clear,0.0281
recognized_background_copy,1.2385
recognized_merge_freehand,0.2955
addImage_index_update,0.0000
addImage_img_copy,1.1778
saveValue_mkpath,0.0396
serialize_image,3.5131
saveImageToFile_total,4.6931
saveValue_saveImageToFile,4.7040
saveValue_removeHistory,0.0001
Storage_addImage_total,4.7711
addImage_saveValue,4.7795
addImage_updateGui,0.8157
recognized_add_freehand_history,7.0866
recognized_clear_stroke,0.4548
recognized_draw_ideal_shape,0.0195
release_pixmap_to_image AND release_background_applyImage,0.1634
release_image_to_pixmap,0.2531
release_background_clear,1.4159
release_geo_clearAll,0.0039
addImage_index_update,0.0001
addImage_img_copy,0.9729
saveValue_mkpath,0.0089
serialize_image,3.5853
saveImageToFile_total,4.7341
saveValue_saveImageToFile,4.7442
saveValue_removeHistory,0.0002
Storage_addImage_total,4.7789
addImage_saveValue,4.7874
addImage_updateGui,0.7318
release_event_total,18.0264
stroke_recognition_total,0.2192
release_cursor_clear,0.0306
recognized_background_copy,1.2338
recognized_merge_freehand,0.3012
addImage_index_update,0.0000
addImage_img_copy,1.1312
saveValue_mkpath,0.0101
serialize_image,3.4671
saveImageToFile_total,4.6351
saveValue_saveImageToFile,4.6458
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6833
addImage_saveValue,4.6917
addImage_updateGui,0.7269
recognized_add_freehand_history,6.8723
recognized_clear_stroke,0.4405
recognized_draw_ideal_shape,0.0424
release_pixmap_to_image AND release_background_applyImage,0.2160
release_image_to_pixmap,0.6328
release_background_clear,1.3341
release_geo_clearAll,0.0041
addImage_index_update,0.0000
addImage_img_copy,0.9091
saveValue_mkpath,0.0081
serialize_image,3.4247
saveImageToFile_total,4.5705
saveValue_saveImageToFile,4.5815
saveValue_removeHistory,0.0002
Storage_addImage_total,4.6153
addImage_saveValue,4.6240
addImage_updateGui,0.7142
release_event_total,18.0680
stroke_recognition_total,0.1595
release_cursor_clear,0.0280
release_pixmap_to_image AND release_background_applyImage,0.3118
